eventID,occurrenceID,measurementValue,analyzedBy,measurementType,measurementeUnity
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1_occ_1,28,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1_occ_2,22.4,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1_occ_3,19.4,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1_occ_4,30.2,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_5,35.44242425,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_6,35.90909091,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_7,13.481818181000001,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_8,2.166666667,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_9,13,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_10,10.166666667,Julia B Zamoner,Percentage cover,dimensionless
