eventID,occurrenceID,scientificName,analyzedBy,scientificNameID,taxonRank,organismQuantityType,basisOfRecord
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1_occ_1,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1_occ_2,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1_occ_3,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1_occ_4,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_5,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_6,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_7,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_8,Padina,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:144088,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2_occ_9,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_10,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
