parentEventID,eventID,island,locality,eventDate,maximumDepthInMeters,decimalLatitude,decimalLongitude,georeferenceProtocol,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,geodeticDatum,verbatimCoordinateSystem,Country,countryCode
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_1,Trindade,Lixo,2007,6,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_1,Ascension,Guano Jetty,2015-8-19,12,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_2,Trindade,Lixo,2007,6,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_2,Ascension,Guano Jetty,2015-8-19,12,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_3,Trindade,Lixo,2007,7,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_3,Ascension,Guano Jetty,2015-8-19,13,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_4,Trindade,Lixo,2007,7,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_4,Ascension,Guano Jetty,2015-8-19,13,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_5,Trindade,Lixo,2007,7,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_5,Ascension,Guano Jetty,2015-8-19,10,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_6,Trindade,Lixo,2007,7,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
