Samples,Locality,Sites,Reef,Lon,Lat,Depth,calcareous.turf,crostose.coralline.algae,Millepora.alcicornis,Phallusia.nigra,Cirripedia,Jania.Amphiroa,Astrangia.Phyllangia,Areia.e.Cascalho,Cianobacterias,Desconhecido,Dictyopteris,Dictyota.sp,Incrusting.sponge,Millepora.incrusting,Mussismilia.hispida,calcareous.articulate.algae,foliaceous.algae,Palythoa.caribaeorum,Porites.astreoides,Quadrado,Sargassum.sp,Siderastrea.spp,Sombra,Agaricia.fragilis,Agaricia.humilis,Halimeda,Mussismilia.harttii,ouriço1,Bryopsis.pennata,Ascidea.colonial,Outro.hydrozoa,Parazoanthus.cf.axinellae,Champia.parvula,Millepora.sp,Muriceopsis.sulphurea,Agaricia.sp,Millepora.nitida,Porites.branneri,Porites.sp,Caulerpa.sp,Caulerpa.verticillata,Dictyopteris.plagiogramma,Massive.sponge,Montastraea.cavernosa,corticated.algae,green.filamentous.algae,Outro.crustaceo,Padina.sp,Papilate.sponge,Poliqueta,Favia.gravida,Mussismilia.leptophylla,Mussismilia.braziliensis,Outro.anthozoa,Stypopodium,Tubular.sponge,Udotea,Ventricaria.ventricosa,Caulerpa.racemosa,Estrela,Peyssonnelia,Anemona,Arborescent.sponge,Botrylloides.nigrum,Carijoa.riisei,Codium.spp,Galaxaura.sp,Gelidium.floridanum,Lobophora.variegata,Macrorhynchia.philippina,Madracis.decactis,Mussismilia.spp,ouriço2,Outra.ascidia,leathery.algae,Schizoporella.sp,Didemnum.perlucidum,Heterogorgia,Idiellana.pristis,Leptogorgia.sp,Octocoral.another,Trididemnum,Ulvophyceae,Codium.intertextum,Colpomenia.sinuosa,Palythoa.variabilis,Globular.sponge,Zoanthus.sociatus,Meandrina.brasiliensis,Outro.echinoderma,Phyllogorgia.dilatata,Plexaurella.grandiflora,Plexaurella.regia,Octhodes.secundiramea,Crinóide,Gelidiella.acerosa,Muricea.flamma,Protopalythoa,Didemnum,Ophiothela.mirabilis,Gelidiopsis,Hypnea.musciformis,Laurencia.sp,Wrangelia,Digenia.sp.,Chaetomorpha.sp,Tricleocarpa.cylindrica
Cagarras/Fundo_061011_Cam_am_Video1/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.752,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Cam_am_Video2/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.652,0,0,0,0,0,0,0.028,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Cam_am_Video4/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.544,0,0,0,0,0,0,0.072,0,0.016,0,0.356,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Cam_ou_Video1/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.856,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Cam_ou_Video2/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.624,0.092,0,0,0,0,0,0.004,0,0.012,0,0.232,0,0,0,0,0,0,0,0.028,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Cam_ou_Video3/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.516,0.02,0,0,0,0,0,0,0,0.008,0,0.364,0.016,0,0,0,0,0,0,0.064,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Cam_ou_Video4/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.532,0.036,0,0,0,0,0,0.004,0.008,0,0,0.312,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Cam_ou_Video5/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.656,0,0,0,0,0,0,0.004,0,0,0,0.192,0,0,0,0,0,0.084,0,0,0,0.024,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Thiago_Video1/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.632,0,0,0,0,0,0,0.188,0,0,0,0.148,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Thiago_Video2/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.676,0.028,0,0,0,0,0,0,0,0,0.016,0.256,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Thiago_Video3/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.948,0.004,0,0,0,0,0,0.032,0,0,0.004,0,0.004,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Thiago_Video4/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.948,0.008,0,0,0,0,0,0,0,0,0.02,0.012,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagarras/Fundo_061011_Thiago_Video5/,noronha,cagarras_noronha,rocky,-32.390165,-3.814548,8-15m,0.588,0.028,0,0,0,0,0,0.008,0,0.016,0,0.344,0,0,0,0,0,0,0,0,0,0.008,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
