"","eventID","occurrenceID","basisOfRecord","scientificNameID","scientificNameAccepted","taxonRank","kingdom","phylum","class","order","family","genus","recordedBy","organismQuantityType","occurrenceStatus","licence","language"
"1","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ1","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"2","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ2","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"3","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ3","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"6","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011_occ4","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"7","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011_occ5","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"10","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ6","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"11","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ7","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"14","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ8","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"15","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ9","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"16","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011_occ10","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
