id	language	basisOfRecord	occurrenceID	recordedBy	organismQuantityType	occurrenceStatus	eventID	scientificNameID	kingdom	phylum	class	order	family	genus	taxonRank
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ1	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ2	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ3	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011_occ4	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011_occ5	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ6	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ7	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ8	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ9	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011_occ10	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ11	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ12	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ13	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ14	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ15	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ16	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011_occ17	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011_occ18	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011_occ19	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011_occ20	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_barro_vermelho_2011	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_barro_vermelho_2011_occ21	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_barro_vermelho_2011	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_cahial_2010	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_cahial_2010_occ22	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_cahial_2010	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_sapata_2010	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_sapata_2010_occ23	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_sapata_2010	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_penha_2018	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_penha_2018_occ24	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_penha_2018	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_curuba_2010	en	HumanObservation	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_curuba_2010_occ25	Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued	Percentage cover	presence	BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_curuba_2010	urn:lsid:marinespecies.org:taxname:290423	Animalia	Cnidaria	Anthozoa	Scleractinia	Faviidae	Mussismilia	Species
