id	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	year	eventRemarks	higherGeography	country	countryCode	locality	verbatimLocality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_VIdeo2_377	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_VIdeo2_377	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-18	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	1	7	-0.869867	-44.264283	decimal degrees
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_367	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_367	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-18	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	8	15	-0.869867	-44.264283	decimal degrees
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_369	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_369	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-18	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	8	15	-0.869867	-44.264283	decimal degrees
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_371	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_371	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-18	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	8	15	-0.869867	-44.264283	decimal degrees
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_373	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_373	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-18	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	1	7	-0.869867	-44.264283	decimal degrees
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_376	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_376	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-18	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	1	7	-0.869867	-44.264283	decimal degrees
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_378	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_378	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-18	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	1	7	-0.869867	-44.264283	decimal degrees
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_760	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_760	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-17	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	8	15	-0.869867	-44.264283	decimal degrees
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_761	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video1_761	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-17	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	8	15	-0.869867	-44.264283	decimal degrees
BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video2_363	BR:ReefSYN:SISBIOTA-MAR::BrazilianCoast_ana_cristina_ana_cristina_2013_Video2_363	Photoquadrats - 0.25 x 0.25 m	0.0625	squared meters	5	2013-04-17	2013	Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Names listed in 'recordedBy' are of people who collected data and/or analyzed photos. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification	BrazilianCoast	Brazil	BR	ana_cristina	ana_cristina	8	15	-0.869867	-44.264283	decimal degrees
