id	measurementType	measurementValue	measurementUnit
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_1	Relative cover	0.752	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_2	Relative cover	0.652	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_3	Relative cover	0.544	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_4	Relative cover	0.856	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_5	Relative cover	0.624	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_6	Relative cover	0.516	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_7	Relative cover	0.532	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_8	Relative cover	0.656	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_9	Relative cover	0.632	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_10	Relative cover	0.676	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_11	Relative cover	0.948	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_12	Relative cover	0.948	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_13	Relative cover	0.588	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_14	Relative cover	0.86	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_15	Relative cover	0.192	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_16	Relative cover	0.604	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_17	Relative cover	0.656	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_18	Relative cover	0.6	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_19	Relative cover	0.84	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video6_20	Relative cover	0.372	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_21	Relative cover	0.612	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_22	Relative cover	0.9	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_23	Relative cover	0.868	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_24	Relative cover	0.42	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_25	Relative cover	0.5	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_26	Relative cover	0.532	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video6_27	Relative cover	0.88	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video7_28	Relative cover	0.576	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_29	Relative cover	0.596	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_30	Relative cover	0.484	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video3_31	Relative cover	0.728	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_32	Relative cover	0.46	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_33	Relative cover	0.208	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video4_34	Relative cover	0.296	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_35	Relative cover	0.056	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video3_36	Relative cover	0.02	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_VIdeo4_37	Relative cover	0.044	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Filmagem1_38	Relative cover	0.452	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_FIlmagem2_39	Relative cover	0.14	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Filmagem3_40	Relative cover	0.12	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_41	Relative cover	0.132	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_42	Relative cover	0.012	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_43	Relative cover	0.276	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_44	Relative cover	0.053333333	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_45	Relative cover	0.212	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_46	Relative cover	0.016	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_47	Relative cover	0.312	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video3_48	Relative cover	0.46	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video4_49	Relative cover	0.264	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video5_50	Relative cover	0.024	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_51	Relative cover	0.464	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Filmagem1_52	Relative cover	0.036	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Filmagem2_53	Relative cover	0.056	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Filmagem4_54	Relative cover	0.492	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_sueste_sueste_2011_Video1_55	Relative cover	0.904	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_sueste_sueste_2011_Video1_56	Relative cover	0.868	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_sueste_sueste_2011_Video2_57	Relative cover	0.868	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_sueste_sueste_2011_Video3_58	Relative cover	0.736	dimensionless
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_sueste_sueste_2011_Video4_59	Relative cover	0.716	dimensionless
