id	language	bibliographicCitation	basisOfRecord	occurrenceID	recordedBy	organismQuantityType	occurrenceStatus	eventID	verbatimIdentification	scientificNameID	kingdom	phylum	class	order	family	genus	taxonRank
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_1	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ1		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_1	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_2	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video2_occ2		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_2	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_3	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video4_occ3		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_3	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_4	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ4		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_4	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_5	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video2_occ5		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_5	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_6	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video3_occ6		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_6	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_7	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video4_occ7		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_7	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_8	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video5_occ8		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_8	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_9	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ9	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_9	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_10	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video2_occ10	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_10	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_11	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video3_occ11	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_11	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_12	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video4_occ12	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_12	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_13	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video5_occ13	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_13	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_14	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ14	Renato A Morais	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_14	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
