id	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	island	country	countryCode	locality	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4	BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4	BR:PELD-ILOC:Noronha_Cagarras_2018	Photoquadrats 50 X 50cm	0.25	square meter	10	2018	Fernando de Noronha	Brazil	BR	Cagarras	decimal degrees	-3.808942	-32.390214	WGS84
