id	measurementType	measurementValue	measurementUnit
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1	Percentage cover	28	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1	Percentage cover	22.4	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1	Percentage cover	19.4	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q1CA_2018_RASO_T1_Q1	Percentage cover	30.2	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2	Percentage cover	35.44242425	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2	Percentage cover	35.90909091	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2	Percentage cover	13.481818181000001	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2	Percentage cover	2.166666667	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q2CA_2018_RASO_T1_Q2	Percentage cover	13	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3	Percentage cover	10.166666667	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3	Percentage cover	58.83333333	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3	Percentage cover	18.333333337	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3	Percentage cover	4.166666667	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3	Percentage cover	8.5	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4	Percentage cover	19.630303032	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4	Percentage cover	44.92727273	dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4	Percentage cover	27.993939397	dimensionless
